id,label,party,betweenness
2403,Michael Brady,D,0.0
2404,William Brownsberger,D,0.0
2435,Barry Finegold,D,0.0
2463,John Keenan,D,0.0
2471,Jason Lewis,D,0.0
2506,Michael Rodrigues,D,0.0
2510,Michael Rush,D,0.0
2531,Walter Timilty,D,0.0
2552,Cynthia Creem,D,0.0
2555,James Eldridge,D,0.0
2560,Patricia Jehlen,D,0.0
2566,Mark Montigny,D,0.0
2567,Michael Moore,D,0.0
2572,Marc Pacheco,D,0.0
2577,Bruce Tarr,R,0.0
12439,Salvatore DiDomenico,D,0.0
13058,Nick Collins,D,0.0
13105,Ryan Fattman,R,0.0
13110,Paul Mark,D,0.0
16183,Michael Barrett,D,0.0
16207,Joan Lovely,D,0.0
16256,John Velis,D,0.0
17662,Brendan Crighton,D,0.0
17963,Patrick O'Connor,R,0.0
19195,Julian Cyr,D,0.0
19410,Cindy Friedman,D,0.0
19433,Paul Feeney,D,0.0
21064,Joanne Comerford,D,0.0
21126,Edward Kennedy,D,0.0
21127,Rebecca Rausch,D,0.0
21141,Liz Miranda,D,0.0
21648,Susan Moran,D,0.0
22739,Jacob Oliveira,D,0.0
22841,Adam Gomez,D,0.0
22842,John Cronin,D,0.0
23059,Lydia Edwards,D,0.0
24765,Robyn Kennedy,D,0.0
24769,Pavel Payano,D,0.0
2390,James Arciero,D,0.0
2391,Brian Ashe,D,0.0
2394,Bruce Ayers,D,0.0
2395,Ruth Balser,D,0.0
2396,Fred Barrows,R,0.0
2405,Antonio Cabral,D,0.0
2422,Paul Donato,D,0.0
2434,Ann-Margaret Ferrante,D,0.0
2440,Paul Frost,R,0.0
2441,William Galvin,D,0.0
2442,Sean Garballey,D,0.0
2443,Colleen Garry,D,0.0
2444,Susan Gifford,R,0.0
2449,Danielle Gregoire,D,0.0
2451,Patricia Haddad,D,0.0
2456,Kate Hogan,D,0.0
2457,Kevin Honan,D,0.0
2459,Bradley Jones,R,0.0
2464,Kay Khan,D,0.0
2472,David Linsky,D,0.0
2476,Ronald Mariano,D,0.0
2478,Paul McMurtry,D,0.0
2480,Aaron Michlewitz,D,0.0
2481,Michael Moran,D,0.0
2483,James Murphy,D,0.0
2488,James O'Day,D,0.0
2491,Sarah Peake,D,0.0
2493,Alice Peisch,D,0.0
2497,William Pignatelli,D,0.0
2501,Angelo Puppolo,D,0.0
2507,John Rogers,D,0.0
2519,Todd Smola,R,0.0
2526,Thomas Stanley,D,0.0
2528,William Straus,D,0.0
12427,Angelo D'Emilia,R,0.0
12436,Marc Lombardo,R,0.0
12442,Steven Howitt,R,0.0
12454,David Vieira,R,0.0
12455,Donald Wong,R,0.0
12461,Russell Holmes,D,0.0
13053,Tackey Chan,D,0.0
13059,Christopher Markey,D,0.0
13064,Mark Cusack,D,0.0
13106,Michael Finn,D,0.0
13111,Paul Schmid,D,0.0
13112,Jerald Parisella,D,0.0
13113,Denise Garlick,D,0.0
13114,Kimberly Ferguson,R,0.0
13116,Nicholas Boldyga,R,0.0
13123,John Mahoney,D,0.0
13877,Tricia Farley-Bouvier,D,0.0
13969,John Lawn,D,0.0
16186,Jeffrey Roy,D,0.0
16188,Marjorie Decker,D,0.0
16189,Kenneth Gordon,D,0.0
16191,David Rogers,D,0.0
16192,Alan Silvia,D,0.0
16194,Mary Keefe,D,0.0
16196,Jonathan Zlotnik,D,0.0
16197,Frank Moran,D,0.0
16199,Carole Fiola,D,0.0
16202,Daniel Donahue,D,0.0
16203,Jay Livingstone,D,0.0
17644,Carlos Gonzalez,D,0.0
17645,Carmine Gentile,D,0.0
17646,Christine Barber,D,0.0
17647,Daniel Hunt,D,0.0
17648,David DeCoste,R,0.0
17649,David Muradian,R,0.0
17650,Donald Berthiaume,R,0.0
17652,Joseph McKenna,R,0.0
17653,Joseph McGonagle,D,0.0
17655,Mathew Muratore,R,0.0
17656,Michael Day,D,0.0
17657,Michelle DuBois,D,0.0
17659,Rady Mom,D,0.0
17660,Steven Ultrino,D,0.0
17661,Susannah Whipps Lee,I,0.0
17708,Adrian Madaro,D,0.0
17871,Daniel Ryan,D,0.0
17960,Thomas Walsh,D,0.0
17962,Gerard Cassidy,D,0.0
17971,Daniel Cahill,D,0.0
17989,Hannah Kane,R,0.0
19185,Mike Connolly,D,0.0
19188,Natalie Higgins,D,0.0
19189,Jack Lewis,D,0.0
19191,Joan Meschino,D,0.0
19192,Brian Murray,D,0.0
19193,Chynah Tyler,D,0.0
19194,Bud Williams,D,0.0
19304,William Driscoll,D,0.0
19306,Dylan Fernandes,D,0.0
19442,John Barrett,D,0.0
19443,Andres Vargas,D,0.0
19623,James Hawkins,D,0.0
21065,Natalie Blais,D,0.0
21129,David Biele,D,0.0
21130,Peter Capano,D,0.0
21131,Michelle Ciccolo,D,0.0
21132,Mindy Domb,D,0.0
21135,Richard Haggerty,D,0.0
21136,Christopher Hendricks,D,0.0
21137,Patrick Kearney,D,0.0
21138,Kathleen LaNatra,D,0.0
21139,David LeBoeuf,D,0.0
21142,Tram Nguyen,D,0.0
21143,David Robertson,D,0.0
21145,Lindsay Sabadosa,D,0.0
21147,Michael Soter,R,0.0
21148,Alyson Sullivan-Almeida,R,0.022411354435936205
21149,Tommy Vitolo,D,0.0
21150,Daniel Carey,D,0.0
21280,Norman Orrall,R,0.0
21638,Kate Lipper-Garabedian,D,0.0
21656,Carol Doherty,D,0.0
21657,Danillo Sena,D,0.0
22681,Steven Xiarhos,R,0.0
22730,Rob Consalvo,D,0.0
22731,Kip Diggs,D,0.0
22732,Patricia Duffy,D,0.0
22733,Brandy Fluker Oakley,D,0.0
22734,Jessica Giannino,D,0.0
22735,Vanna Howard,D,0.0
22736,Sally Kerans,D,0.0
22737,Meghan Kilcoyne,D,0.0
22738,Michael Kushmerek,D,0.0
22740,Steven Owens,D,0.0
22741,Kelly Pease,R,0.0
22742,Ted Philips,D,0.0
22743,Orlando Ramos,D,0.0
22744,Adam Scanlon,D,0.0
22745,Erika Uyterhoeven,D,0.0
22912,Jeffrey Turco,D,0.0
24754,James Arena-DeRosa,D,0.0
24755,Jennifer Balinsky Armini,D,0.0
24756,Shirley Arriaga,D,0.0
24757,Simon Cataldo,D,0.004755401648539238
24758,Manny Cruz,D,0.0
24759,Kate Donaghue,D,0.0
24760,Rodney Elliott,D,0.0
24761,Christopher Flanagan,D,0.0
24762,Judith Garcia,D,0.0
24763,Ryan Hamilton,D,0.0
24764,Kristin Kassner,D,0.0
24766,Rita Mendes,D,0.0
24767,Samantha Montano,D,0.0
24768,Francisco Paulino,D,0.0
24770,Adrianne Ramos,D,0.0
24771,Estela Reyes,D,0.0
24772,Aaron Saunders,D,0.0
24773,Margaret Scarsdale,D,0.0
24774,Dawne Shand,D,0.0
24775,Priscila Sousa,D,0.0
24776,Marcus Vaughn,R,0.0
24777,Christopher Worrell,D,0.0
24947,Bill MacGregor,D,0.0
24948,John Moran,D,0.0
25189,John Marsi,R,0.0031214944154513975
13317,Peter Durant,R,0.0
2445,Anne Gobi,D,0.933912110422865
2576,Karen Spilka,D,0.02545968882602546
16187,Josh Cutler,D,0.3449251329073794
13117,Edward Coppinger,D,0.0
16204,Leonard Mirra,R,0.0
21146,Jon Santiago,D,0.0
